"","dataset","imputation_method","model","metric","metric_value"
"85","openml_dataset_40536","mean","classif.kknn","auc",0.773855147359804
"86","openml_dataset_40536","mean","classif.kknn","f1",0.445414847161572
"87","openml_dataset_40536","mean","classif.ranger","auc",1
"88","openml_dataset_40536","mean","classif.ranger","f1",0.989169675090253
"89","openml_dataset_40536","mean","classif.xgboost","auc",1
"90","openml_dataset_40536","mean","classif.xgboost","f1",1
"91","openml_dataset_55","mean","classif.rpart","auc",0.698369565217391
"92","openml_dataset_55","mean","classif.rpart","f1",0.851063829787234
"93","openml_dataset_55","mean","classif.glmnet","auc",0.766304347826087
"94","openml_dataset_55","mean","classif.glmnet","f1",0.851851851851852
"95","openml_dataset_55","mean","classif.kknn","auc",0.855978260869565
"96","openml_dataset_55","mean","classif.kknn","f1",0.91304347826087
"97","openml_dataset_55","mean","classif.ranger","auc",0.885869565217391
"98","openml_dataset_55","mean","classif.ranger","f1",0.916666666666667
"99","openml_dataset_55","mean","classif.xgboost","auc",0.804347826086957
"100","openml_dataset_55","mean","classif.xgboost","f1",0.893617021276596
"101","openml_dataset_56","mean","classif.rpart","auc",0.969034090909091
"102","openml_dataset_56","mean","classif.rpart","f1",0.923076923076923
"103","openml_dataset_56","mean","classif.glmnet","auc",0.978125
"104","openml_dataset_56","mean","classif.glmnet","f1",0.939393939393939
"105","openml_dataset_56","mean","classif.kknn","auc",0.986931818181818
"106","openml_dataset_56","mean","classif.kknn","f1",0.909090909090909
"107","openml_dataset_56","mean","classif.ranger","auc",0.984659090909091
"108","openml_dataset_56","mean","classif.ranger","f1",0.939393939393939
"109","openml_dataset_56","mean","classif.xgboost","auc",0.969034090909091
"110","openml_dataset_56","mean","classif.xgboost","f1",0.923076923076923
"111","openml_dataset_6332","mean","classif.rpart","auc",0.85438282647585
"112","openml_dataset_6332","mean","classif.rpart","f1",0.816
"113","openml_dataset_6332","mean","classif.glmnet","auc",0.818604651162791
"114","openml_dataset_6332","mean","classif.glmnet","f1",0.791044776119403
"115","openml_dataset_6332","mean","classif.kknn","auc",0.812701252236136
"116","openml_dataset_6332","mean","classif.kknn","f1",0.814814814814815
"117","openml_dataset_6332","mean","classif.ranger","auc",0.917352415026834
"118","openml_dataset_6332","mean","classif.ranger","f1",0.857142857142857
"119","openml_dataset_6332","mean","classif.xgboost","auc",0.74257602862254
"120","openml_dataset_6332","mean","classif.xgboost","f1",0.783216783216783
"121","openml_dataset_944","mean","classif.rpart","auc",0.845454545454545
"122","openml_dataset_944","mean","classif.rpart","f1",0.787878787878788
"123","openml_dataset_944","mean","classif.glmnet","auc",0.821212121212121
"124","openml_dataset_944","mean","classif.glmnet","f1",0.814814814814815
"125","openml_dataset_944","mean","classif.kknn","auc",0.845454545454545
"126","openml_dataset_944","mean","classif.kknn","f1",0.740740740740741
"127","openml_dataset_944","mean","classif.ranger","auc",0.884848484848485
"128","openml_dataset_944","mean","classif.ranger","f1",0.814814814814815
"129","openml_dataset_944","mean","classif.xgboost","auc",0.9
"130","openml_dataset_944","mean","classif.xgboost","f1",0.785714285714286
"131","openml_dataset_1018","mice_default","classif.rpart","auc",0.5
"132","openml_dataset_1018","mice_default","classif.rpart","f1",0.967911318553092
"133","openml_dataset_1018","mice_default","classif.glmnet","auc",0.886484190914571
"134","openml_dataset_1018","mice_default","classif.glmnet","f1",0.967892586106246
"135","openml_dataset_1018","mice_default","classif.kknn","auc",0.69704641350211
"136","openml_dataset_1018","mice_default","classif.kknn","f1",0.961913197519929
"137","openml_dataset_1018","mice_default","classif.ranger","auc",0.894498328675544
"138","openml_dataset_1018","mice_default","classif.ranger","f1",0.968421052631579
"139","openml_dataset_1018","mice_default","classif.xgboost","auc",0.883618280453723
"140","openml_dataset_1018","mice_default","classif.xgboost","f1",0.967628016480283
"141","openml_dataset_1590","mice_default","classif.rpart","auc",0.852837911163817
"142","openml_dataset_1590","mice_default","classif.rpart","f1",0.634649233090269
"143","openml_dataset_1590","mice_default","classif.glmnet","auc",0.903990018085906
"144","openml_dataset_1590","mice_default","classif.glmnet","f1",0.637935354547732
"145","openml_dataset_1590","mice_default","classif.kknn","auc",0.849191325359353
"146","openml_dataset_1590","mice_default","classif.kknn","f1",0.599214599214599
"147","openml_dataset_1590","mice_default","classif.ranger","auc",0.91857703357707
"148","openml_dataset_1590","mice_default","classif.ranger","f1",0.678746327130264
"149","openml_dataset_1590","mice_default","classif.xgboost","auc",0.880917890408694
"150","openml_dataset_1590","mice_default","classif.xgboost","f1",0.639111340738827
"151","openml_dataset_188","mice_default","classif.rpart","auc",0.940165757024459
"152","openml_dataset_188","mice_default","classif.rpart","f1",0.849557522123894
"153","openml_dataset_188","mice_default","classif.glmnet","auc",0.964220739842329
"154","openml_dataset_188","mice_default","classif.glmnet","f1",0.831683168316832
"155","openml_dataset_188","mice_default","classif.kknn","auc",0.908631493834647
"156","openml_dataset_188","mice_default","classif.kknn","f1",0.796116504854369
"157","openml_dataset_188","mice_default","classif.ranger","auc",0.958762886597938
"158","openml_dataset_188","mice_default","classif.ranger","f1",0.807692307692308
"159","openml_dataset_188","mice_default","classif.xgboost","auc",0.944713968061451
"160","openml_dataset_188","mice_default","classif.xgboost","f1",0.818181818181818
"161","openml_dataset_27","mice_default","classif.rpart","auc",0.868560606060606
"162","openml_dataset_27","mice_default","classif.rpart","f1",0.896551724137931
"163","openml_dataset_27","mice_default","classif.glmnet","auc",0.90719696969697
"164","openml_dataset_27","mice_default","classif.glmnet","f1",0.847058823529412
"165","openml_dataset_27","mice_default","classif.kknn","auc",0.859848484848485
"166","openml_dataset_27","mice_default","classif.kknn","f1",0.863636363636364
"167","openml_dataset_27","mice_default","classif.ranger","auc",0.912121212121212
"168","openml_dataset_27","mice_default","classif.ranger","f1",0.872340425531915
"169","openml_dataset_27","mice_default","classif.xgboost","auc",0.888257575757576
"170","openml_dataset_27","mice_default","classif.xgboost","f1",0.869565217391304
"171","openml_dataset_38","mice_default","classif.rpart","auc",0.968316594930655
"172","openml_dataset_38","mice_default","classif.rpart","f1",0.888888888888889
"173","openml_dataset_38","mice_default","classif.glmnet","auc",0.946129671380747
"174","openml_dataset_38","mice_default","classif.glmnet","f1",0.48
"175","openml_dataset_38","mice_default","classif.kknn","auc",0.934481109516977
"176","openml_dataset_38","mice_default","classif.kknn","f1",0.65625
"177","openml_dataset_38","mice_default","classif.ranger","auc",0.996993919519027
"178","openml_dataset_38","mice_default","classif.ranger","f1",0.871794871794872
"179","openml_dataset_38","mice_default","classif.xgboost","auc",0.990452278472365
"180","openml_dataset_38","mice_default","classif.xgboost","f1",0.770833333333333
"181","openml_dataset_4","mice_default","classif.rpart","auc",0.8125
"182","openml_dataset_4","mice_default","classif.rpart","f1",0.875
"183","openml_dataset_4","mice_default","classif.glmnet","auc",0.90625
"184","openml_dataset_4","mice_default","classif.glmnet","f1",0.888888888888889
"185","openml_dataset_4","mice_default","classif.kknn","auc",0.828125
"186","openml_dataset_4","mice_default","classif.kknn","f1",0.941176470588235
"187","openml_dataset_4","mice_default","classif.ranger","auc",1
