"","dataset","imputation_method","model","metric","metric_value"
"411","openml_dataset_4","random","classif.rpart","auc",0.75
"412","openml_dataset_4","random","classif.rpart","f1",0.888888888888889
"413","openml_dataset_4","random","classif.glmnet","auc",0.859375
"414","openml_dataset_4","random","classif.glmnet","f1",0.8
"415","openml_dataset_4","random","classif.kknn","auc",0.96875
"416","openml_dataset_4","random","classif.kknn","f1",0.769230769230769
"417","openml_dataset_4","random","classif.ranger","auc",1
"418","openml_dataset_4","random","classif.ranger","f1",1
"419","openml_dataset_4","random","classif.xgboost","auc",0.796875
"420","openml_dataset_4","random","classif.xgboost","f1",0.823529411764706
"421","openml_dataset_40536","random","classif.rpart","auc",1
"422","openml_dataset_40536","random","classif.rpart","f1",1
"423","openml_dataset_40536","random","classif.glmnet","auc",1
"424","openml_dataset_40536","random","classif.glmnet","f1",1
"425","openml_dataset_40536","random","classif.kknn","auc",0.773591639377814
"426","openml_dataset_40536","random","classif.kknn","f1",0.456375838926175
"427","openml_dataset_40536","random","classif.ranger","auc",1
"428","openml_dataset_40536","random","classif.ranger","f1",0.989169675090253
"429","openml_dataset_40536","random","classif.xgboost","auc",1
"430","openml_dataset_40536","random","classif.xgboost","f1",1
"431","openml_dataset_55","random","classif.rpart","auc",0.6875
"432","openml_dataset_55","random","classif.rpart","f1",0.851063829787234
"433","openml_dataset_55","random","classif.glmnet","auc",0.728260869565217
"434","openml_dataset_55","random","classif.glmnet","f1",0.851851851851852
"435","openml_dataset_55","random","classif.kknn","auc",0.858695652173913
"436","openml_dataset_55","random","classif.kknn","f1",0.91304347826087
"437","openml_dataset_55","random","classif.ranger","auc",0.896739130434783
"438","openml_dataset_55","random","classif.ranger","f1",0.897959183673469
"439","openml_dataset_55","random","classif.xgboost","auc",0.853260869565217
"440","openml_dataset_55","random","classif.xgboost","f1",0.869565217391304
"441","openml_dataset_56","random","classif.rpart","auc",0.982386363636364
"442","openml_dataset_56","random","classif.rpart","f1",0.939393939393939
"443","openml_dataset_56","random","classif.glmnet","auc",0.990909090909091
"444","openml_dataset_56","random","classif.glmnet","f1",0.941176470588235
"445","openml_dataset_56","random","classif.kknn","auc",0.970738636363636
"446","openml_dataset_56","random","classif.kknn","f1",0.909090909090909
"447","openml_dataset_56","random","classif.ranger","auc",0.988068181818182
"448","openml_dataset_56","random","classif.ranger","f1",0.955223880597015
"449","openml_dataset_56","random","classif.xgboost","auc",0.984375
"450","openml_dataset_56","random","classif.xgboost","f1",0.920634920634921
"451","openml_dataset_6332","random","classif.rpart","auc",0.791055456171735
"452","openml_dataset_6332","random","classif.rpart","f1",0.782608695652174
"453","openml_dataset_6332","random","classif.glmnet","auc",0.808228980322004
"454","openml_dataset_6332","random","classif.glmnet","f1",0.811594202898551
"455","openml_dataset_6332","random","classif.kknn","auc",0.820035778175313
"456","openml_dataset_6332","random","classif.kknn","f1",0.82089552238806
"457","openml_dataset_6332","random","classif.ranger","auc",0.902683363148479
"458","openml_dataset_6332","random","classif.ranger","f1",0.848920863309353
"459","openml_dataset_6332","random","classif.xgboost","auc",0.761896243291592
"460","openml_dataset_6332","random","classif.xgboost","f1",0.805369127516779
"461","openml_dataset_944","random","classif.rpart","auc",0.893939393939394
"462","openml_dataset_944","random","classif.rpart","f1",0.857142857142857
"463","openml_dataset_944","random","classif.glmnet","auc",0.821212121212121
"464","openml_dataset_944","random","classif.glmnet","f1",0.814814814814815
"465","openml_dataset_944","random","classif.kknn","auc",0.909090909090909
"466","openml_dataset_944","random","classif.kknn","f1",0.827586206896552
"467","openml_dataset_944","random","classif.ranger","auc",0.890909090909091
"468","openml_dataset_944","random","classif.ranger","f1",0.857142857142857
"469","openml_dataset_944","random","classif.xgboost","auc",0.918181818181818
"470","openml_dataset_944","random","classif.xgboost","f1",0.814814814814815
"471","openml_dataset_1018","softImpute","classif.rpart","auc",0.5
"472","openml_dataset_1018","softImpute","classif.rpart","f1",0.967911318553092
"473","openml_dataset_1018","softImpute","classif.glmnet","auc",0.900720587429448
"474","openml_dataset_1018","softImpute","classif.glmnet","f1",0.967855055523086
"475","openml_dataset_1018","softImpute","classif.kknn","auc",0.709948490328237
"476","openml_dataset_1018","softImpute","classif.kknn","f1",0.961515689757253
"477","openml_dataset_1018","softImpute","classif.ranger","auc",0.901353498821853
"478","openml_dataset_1018","softImpute","classif.ranger","f1",0.968402574605032
"479","openml_dataset_1018","softImpute","classif.xgboost","auc",0.89207353827607
"480","openml_dataset_1018","softImpute","classif.xgboost","f1",0.965130023640662
"481","openml_dataset_1590","softImpute","classif.rpart","auc",0.849921823382928
"482","openml_dataset_1590","softImpute","classif.rpart","f1",0.614781927396187
"483","openml_dataset_1590","softImpute","classif.glmnet","auc",0.903092971657308
"484","openml_dataset_1590","softImpute","classif.glmnet","f1",0.641102756892231
"485","openml_dataset_1590","softImpute","classif.kknn","auc",0.851049810307856
"486","openml_dataset_1590","softImpute","classif.kknn","f1",0.602626123013131
"487","openml_dataset_1590","softImpute","classif.ranger","auc",0.918192551702786
"488","openml_dataset_1590","softImpute","classif.ranger","f1",0.677284979171772
"489","openml_dataset_1590","softImpute","classif.xgboost","auc",0.876233636136924
"490","openml_dataset_1590","softImpute","classif.xgboost","f1",0.618855761482675
"491","openml_dataset_27","softImpute","classif.rpart","auc",0.868939393939394
"492","openml_dataset_27","softImpute","classif.rpart","f1",0.883720930232558
"493","openml_dataset_27","softImpute","classif.glmnet","auc",0.906060606060606
"494","openml_dataset_27","softImpute","classif.glmnet","f1",0.847058823529412
"495","openml_dataset_27","softImpute","classif.kknn","auc",0.851515151515152
"496","openml_dataset_27","softImpute","classif.kknn","f1",0.813186813186813
"497","openml_dataset_27","softImpute","classif.ranger","auc",0.934090909090909
"498","openml_dataset_27","softImpute","classif.ranger","f1",0.901098901098901
"499","openml_dataset_27","softImpute","classif.xgboost","auc",0.866287878787879
"500","openml_dataset_27","softImpute","classif.xgboost","f1",0.853932584269663
"501","openml_dataset_29","softImpute","classif.rpart","auc",0.917521367521367
"502","openml_dataset_29","softImpute","classif.rpart","f1",0.849557522123894
"503","openml_dataset_29","softImpute","classif.glmnet","auc",0.913888888888889
"504","openml_dataset_29","softImpute","classif.glmnet","f1",0.861788617886179
"505","openml_dataset_29","softImpute","classif.kknn","auc",0.882051282051282
"506","openml_dataset_29","softImpute","classif.kknn","f1",0.769230769230769
"507","openml_dataset_29","softImpute","classif.ranger","auc",0.96474358974359
"508","openml_dataset_29","softImpute","classif.ranger","f1",0.857142857142857
"509","openml_dataset_29","softImpute","classif.xgboost","auc",0.935149572649573
"510","openml_dataset_29","softImpute","classif.xgboost","f1",0.811320754716981
"511","openml_dataset_38","softImpute","classif.rpart","auc",0.998906879825101
"512","openml_dataset_38","softImpute","classif.rpart","f1",0.926829268292683
"513","openml_dataset_38","softImpute","classif.glmnet","auc",0.963414634146341
"514","openml_dataset_38","softImpute","classif.glmnet","f1",0.606060606060606
"515","openml_dataset_38","softImpute","classif.kknn","auc",0.935335109653618
"516","openml_dataset_38","softImpute","classif.kknn","f1",0.626865671641791
"517","openml_dataset_38","softImpute","classif.ranger","auc",0.997847919655667
"518","openml_dataset_38","softImpute","classif.ranger","f1",0.897435897435897
"519","openml_dataset_38","softImpute","classif.xgboost","auc",0.999009359841498
"520","openml_dataset_38","softImpute","classif.xgboost","f1",0.928571428571429
"521","openml_dataset_4","softImpute","classif.rpart","auc",0.4375
"522","openml_dataset_4","softImpute","classif.rpart","f1",0.736842105263158
"523","openml_dataset_4","softImpute","classif.glmnet","auc",0.96875
"524","openml_dataset_4","softImpute","classif.glmnet","f1",0.842105263157895
"525","openml_dataset_4","softImpute","classif.kknn","auc",1
"526","openml_dataset_4","softImpute","classif.kknn","f1",0.941176470588235
"527","openml_dataset_4","softImpute","classif.ranger","auc",1
"528","openml_dataset_4","softImpute","classif.ranger","f1",0.941176470588235
"529","openml_dataset_4","softImpute","classif.xgboost","auc",0.4375
"530","openml_dataset_4","softImpute","classif.xgboost","f1",0.736842105263158
"531","openml_dataset_40536","softImpute","classif.rpart","auc",1
"532","openml_dataset_40536","softImpute","classif.rpart","f1",1
"533","openml_dataset_40536","softImpute","classif.glmnet","auc",1
"534","openml_dataset_40536","softImpute","classif.glmnet","f1",1
"535","openml_dataset_40536","softImpute","classif.kknn","auc",0.774405188293082
"536","openml_dataset_40536","softImpute","classif.kknn","f1",0.447368421052632
"537","openml_dataset_40536","softImpute","classif.ranger","auc",1
"538","openml_dataset_40536","softImpute","classif.ranger","f1",0.990990990990991
"539","openml_dataset_40536","softImpute","classif.xgboost","auc",1
"540","openml_dataset_40536","softImpute","classif.xgboost","f1",1
"541","openml_dataset_55","softImpute","classif.rpart","auc",0.627717391304348
"542","openml_dataset_55","softImpute","classif.rpart","f1",0.808510638297872
"543","openml_dataset_55","softImpute","classif.glmnet","auc",0.72554347826087
"544","openml_dataset_55","softImpute","classif.glmnet","f1",0.851851851851852
"545","openml_dataset_55","softImpute","classif.kknn","auc",0.875
"546","openml_dataset_55","softImpute","classif.kknn","f1",0.91304347826087
"547","openml_dataset_55","softImpute","classif.ranger","auc",0.875
"548","openml_dataset_55","softImpute","classif.ranger","f1",0.897959183673469
"549","openml_dataset_55","softImpute","classif.xgboost","auc",0.741847826086957
"550","openml_dataset_55","softImpute","classif.xgboost","f1",0.875
"551","openml_dataset_56","softImpute","classif.rpart","auc",0.969034090909091
"552","openml_dataset_56","softImpute","classif.rpart","f1",0.923076923076923
"553","openml_dataset_56","softImpute","classif.glmnet","auc",0.978125
"554","openml_dataset_56","softImpute","classif.glmnet","f1",0.939393939393939
"555","openml_dataset_56","softImpute","classif.kknn","auc",0.986931818181818
"556","openml_dataset_56","softImpute","classif.kknn","f1",0.909090909090909
"557","openml_dataset_56","softImpute","classif.ranger","auc",0.984659090909091
"558","openml_dataset_56","softImpute","classif.ranger","f1",0.939393939393939
"559","openml_dataset_56","softImpute","classif.xgboost","auc",0.969034090909091
"560","openml_dataset_56","softImpute","classif.xgboost","f1",0.923076923076923
"561","openml_dataset_6332","softImpute","classif.rpart","auc",0.740787119856887
"562","openml_dataset_6332","softImpute","classif.rpart","f1",0.814285714285714
"563","openml_dataset_6332","softImpute","classif.glmnet","auc",0.783184257602862
"564","openml_dataset_6332","softImpute","classif.glmnet","f1",0.755555555555556
"565","openml_dataset_6332","softImpute","classif.kknn","auc",0.820751341681574
"566","openml_dataset_6332","softImpute","classif.kknn","f1",0.823529411764706
"567","openml_dataset_6332","softImpute","classif.ranger","auc",0.912701252236136
"568","openml_dataset_6332","softImpute","classif.ranger","f1",0.869565217391304
"569","openml_dataset_6332","softImpute","classif.xgboost","auc",0.764042933810376
"570","openml_dataset_6332","softImpute","classif.xgboost","f1",0.791946308724832
"571","openml_dataset_944","softImpute","classif.rpart","auc",0.845454545454545
"572","openml_dataset_944","softImpute","classif.rpart","f1",0.787878787878788
"573","openml_dataset_944","softImpute","classif.glmnet","auc",0.821212121212121
"574","openml_dataset_944","softImpute","classif.glmnet","f1",0.814814814814815
"575","openml_dataset_944","softImpute","classif.kknn","auc",0.818181818181818
"576","openml_dataset_944","softImpute","classif.kknn","f1",0.692307692307692
"577","openml_dataset_944","softImpute","classif.ranger","auc",0.878787878787879
"578","openml_dataset_944","softImpute","classif.ranger","f1",0.814814814814815
"579","openml_dataset_944","softImpute","classif.xgboost","auc",0.9
"580","openml_dataset_944","softImpute","classif.xgboost","f1",0.785714285714286
"581","openml_dataset_1018","VIM_hotdeck","classif.rpart","auc",0.5
"582","openml_dataset_1018","VIM_hotdeck","classif.rpart","f1",0.967911318553092
"583","openml_dataset_1018","VIM_hotdeck","classif.glmnet","auc",0.895816209107348
"584","openml_dataset_1018","VIM_hotdeck","classif.glmnet","f1",0.967591240875912
"585","openml_dataset_1018","VIM_hotdeck","classif.kknn","auc",0.706304455038632
"586","openml_dataset_1018","VIM_hotdeck","classif.kknn","f1",0.962481536189069
"587","openml_dataset_1018","VIM_hotdeck","classif.ranger","auc",0.900931557893583
"588","openml_dataset_1018","VIM_hotdeck","classif.ranger","f1",0.968704299502779
"589","openml_dataset_1018","VIM_hotdeck","classif.xgboost","auc",0.887662337662338
"590","openml_dataset_1018","VIM_hotdeck","classif.xgboost","f1",0.964824120603015
"591","openml_dataset_1590","VIM_hotdeck","classif.rpart","auc",0.852580459715688
"592","openml_dataset_1590","VIM_hotdeck","classif.rpart","f1",0.633082706766917
"593","openml_dataset_1590","VIM_hotdeck","classif.glmnet","auc",0.903350247729791
"594","openml_dataset_1590","VIM_hotdeck","classif.glmnet","f1",0.638659664916229
"595","openml_dataset_1590","VIM_hotdeck","classif.kknn","auc",0.851051564064314
"596","openml_dataset_1590","VIM_hotdeck","classif.kknn","f1",0.600092038656236
"597","openml_dataset_1590","VIM_hotdeck","classif.ranger","auc",0.918242855283875
"598","openml_dataset_1590","VIM_hotdeck","classif.ranger","f1",0.678090575275398
"599","openml_dataset_1590","VIM_hotdeck","classif.xgboost","auc",0.880568162141566
"600","openml_dataset_1590","VIM_hotdeck","classif.xgboost","f1",0.637487126673532
"601","openml_dataset_188","VIM_hotdeck","classif.rpart","auc",0.868304022639984
"602","openml_dataset_188","VIM_hotdeck","classif.rpart","f1",0.803571428571428
"603","openml_dataset_188","VIM_hotdeck","classif.glmnet","auc",0.962805740853042
"604","openml_dataset_188","VIM_hotdeck","classif.glmnet","f1",0.851485148514851
"605","openml_dataset_188","VIM_hotdeck","classif.kknn","auc",0.910349706893066
"606","openml_dataset_188","VIM_hotdeck","classif.kknn","f1",0.815533980582524
"607","openml_dataset_188","VIM_hotdeck","classif.ranger","auc",0.957347887608652
"608","openml_dataset_188","VIM_hotdeck","classif.ranger","f1",0.792079207920792
"609","openml_dataset_188","VIM_hotdeck","classif.xgboost","auc",0.923590054578532
"610","openml_dataset_188","VIM_hotdeck","classif.xgboost","f1",0.770642201834862
"611","openml_dataset_23381","VIM_hotdeck","classif.rpart","auc",0.505208333333333
"612","openml_dataset_23381","VIM_hotdeck","classif.rpart","f1",0.257142857142857
"613","openml_dataset_23381","VIM_hotdeck","classif.glmnet","auc",0.527777777777778
"614","openml_dataset_23381","VIM_hotdeck","classif.glmnet","f1",NA
"615","openml_dataset_23381","VIM_hotdeck","classif.kknn","auc",0.500217013888889
"616","openml_dataset_23381","VIM_hotdeck","classif.kknn","f1",0.368421052631579
"617","openml_dataset_23381","VIM_hotdeck","classif.ranger","auc",0.510850694444444
"618","openml_dataset_23381","VIM_hotdeck","classif.ranger","f1",0.307692307692308
"619","openml_dataset_23381","VIM_hotdeck","classif.xgboost","auc",0.533854166666667
"620","openml_dataset_23381","VIM_hotdeck","classif.xgboost","f1",0.476190476190476
"621","openml_dataset_27","VIM_hotdeck","classif.rpart","auc",0.863636363636364
"622","openml_dataset_27","VIM_hotdeck","classif.rpart","f1",0.898876404494382
"623","openml_dataset_27","VIM_hotdeck","classif.glmnet","auc",0.879545454545455
"624","openml_dataset_27","VIM_hotdeck","classif.glmnet","f1",0.847058823529412
"625","openml_dataset_27","VIM_hotdeck","classif.kknn","auc",0.866287878787879
"626","openml_dataset_27","VIM_hotdeck","classif.kknn","f1",0.835164835164835
"627","openml_dataset_27","VIM_hotdeck","classif.ranger","auc",0.925
"628","openml_dataset_27","VIM_hotdeck","classif.ranger","f1",0.891304347826087
"629","openml_dataset_27","VIM_hotdeck","classif.xgboost","auc",0.913257575757576
"630","openml_dataset_27","VIM_hotdeck","classif.xgboost","f1",0.879120879120879
"631","openml_dataset_29","VIM_hotdeck","classif.rpart","auc",0.918376068376068
"632","openml_dataset_29","VIM_hotdeck","classif.rpart","f1",0.849557522123894
"633","openml_dataset_29","VIM_hotdeck","classif.glmnet","auc",0.913888888888889
"634","openml_dataset_29","VIM_hotdeck","classif.glmnet","f1",0.861788617886179
"635","openml_dataset_29","VIM_hotdeck","classif.kknn","auc",0.880555555555556
"636","openml_dataset_29","VIM_hotdeck","classif.kknn","f1",0.76271186440678
"637","openml_dataset_29","VIM_hotdeck","classif.ranger","auc",0.965811965811966
"638","openml_dataset_29","VIM_hotdeck","classif.ranger","f1",0.857142857142857
"639","openml_dataset_29","VIM_hotdeck","classif.xgboost","auc",0.933653846153846
"640","openml_dataset_29","VIM_hotdeck","classif.xgboost","f1",0.811320754716981
"641","openml_dataset_38","VIM_hotdeck","classif.rpart","auc",0.970349115255858
"642","openml_dataset_38","VIM_hotdeck","classif.rpart","f1",0.897435897435897
"643","openml_dataset_38","VIM_hotdeck","classif.glmnet","auc",0.952107672337228
"644","openml_dataset_38","VIM_hotdeck","classif.glmnet","f1",0.571428571428572
"645","openml_dataset_38","VIM_hotdeck","classif.kknn","auc",0.932516909202705
"646","openml_dataset_38","VIM_hotdeck","classif.kknn","f1",0.615384615384615
"647","openml_dataset_38","VIM_hotdeck","classif.ranger","auc",0.997642959622874
"648","openml_dataset_38","VIM_hotdeck","classif.ranger","f1",0.875
"649","openml_dataset_38","VIM_hotdeck","classif.xgboost","auc",0.991818678690989
"650","openml_dataset_38","VIM_hotdeck","classif.xgboost","f1",0.875
"651","openml_dataset_4","VIM_hotdeck","classif.rpart","auc",0.75
"652","openml_dataset_4","VIM_hotdeck","classif.rpart","f1",0.888888888888889
"653","openml_dataset_4","VIM_hotdeck","classif.glmnet","auc",1
"654","openml_dataset_4","VIM_hotdeck","classif.glmnet","f1",0.842105263157895
"655","openml_dataset_4","VIM_hotdeck","classif.kknn","auc",1
"656","openml_dataset_4","VIM_hotdeck","classif.kknn","f1",0.888888888888889
"657","openml_dataset_4","VIM_hotdeck","classif.ranger","auc",1
"658","openml_dataset_4","VIM_hotdeck","classif.ranger","f1",0.941176470588235
"659","openml_dataset_4","VIM_hotdeck","classif.xgboost","auc",0.875
"660","openml_dataset_4","VIM_hotdeck","classif.xgboost","f1",0.941176470588235
"661","openml_dataset_40536","VIM_hotdeck","classif.rpart","auc",1
"662","openml_dataset_40536","VIM_hotdeck","classif.rpart","f1",1
"663","openml_dataset_40536","VIM_hotdeck","classif.glmnet","auc",1
"664","openml_dataset_40536","VIM_hotdeck","classif.glmnet","f1",1
"665","openml_dataset_40536","VIM_hotdeck","classif.kknn","auc",0.773716997544003
"666","openml_dataset_40536","VIM_hotdeck","classif.kknn","f1",0.433035714285714
"667","openml_dataset_40536","VIM_hotdeck","classif.ranger","auc",1
"668","openml_dataset_40536","VIM_hotdeck","classif.ranger","f1",0.990990990990991
"669","openml_dataset_40536","VIM_hotdeck","classif.xgboost","auc",1
"670","openml_dataset_40536","VIM_hotdeck","classif.xgboost","f1",1
"671","openml_dataset_55","VIM_hotdeck","classif.rpart","auc",0.519021739130435
"672","openml_dataset_55","VIM_hotdeck","classif.rpart","f1",0.823529411764706
"673","openml_dataset_55","VIM_hotdeck","classif.glmnet","auc",0.831521739130435
"674","openml_dataset_55","VIM_hotdeck","classif.glmnet","f1",0.884615384615385
"675","openml_dataset_55","VIM_hotdeck","classif.kknn","auc",0.842391304347826
"676","openml_dataset_55","VIM_hotdeck","classif.kknn","f1",0.893617021276596
"677","openml_dataset_55","VIM_hotdeck","classif.ranger","auc",0.907608695652174
"678","openml_dataset_55","VIM_hotdeck","classif.ranger","f1",0.916666666666667
"679","openml_dataset_55","VIM_hotdeck","classif.xgboost","auc",0.796195652173913
"680","openml_dataset_55","VIM_hotdeck","classif.xgboost","f1",0.857142857142857
"681","openml_dataset_56","VIM_hotdeck","classif.rpart","auc",0.984090909090909
"682","openml_dataset_56","VIM_hotdeck","classif.rpart","f1",0.939393939393939
"683","openml_dataset_56","VIM_hotdeck","classif.glmnet","auc",0.991761363636364
"684","openml_dataset_56","VIM_hotdeck","classif.glmnet","f1",0.941176470588235
"685","openml_dataset_56","VIM_hotdeck","classif.kknn","auc",0.975568181818182
"686","openml_dataset_56","VIM_hotdeck","classif.kknn","f1",0.909090909090909
"687","openml_dataset_56","VIM_hotdeck","classif.ranger","auc",0.990340909090909
"688","openml_dataset_56","VIM_hotdeck","classif.ranger","f1",0.955223880597015
"689","openml_dataset_56","VIM_hotdeck","classif.xgboost","auc",0.985795454545455
"690","openml_dataset_56","VIM_hotdeck","classif.xgboost","f1",0.953846153846154
"691","openml_dataset_6332","VIM_hotdeck","classif.rpart","auc",0.745796064400716
"692","openml_dataset_6332","VIM_hotdeck","classif.rpart","f1",0.742424242424242
"693","openml_dataset_6332","VIM_hotdeck","classif.glmnet","auc",0.777817531305903
"694","openml_dataset_6332","VIM_hotdeck","classif.glmnet","f1",0.780141843971631
"695","openml_dataset_6332","VIM_hotdeck","classif.kknn","auc",0.776565295169946
"696","openml_dataset_6332","VIM_hotdeck","classif.kknn","f1",0.776978417266187
"697","openml_dataset_6332","VIM_hotdeck","classif.ranger","auc",0.884078711985689
"698","openml_dataset_6332","VIM_hotdeck","classif.ranger","f1",0.834532374100719
"699","openml_dataset_6332","VIM_hotdeck","classif.xgboost","auc",0.743291592128801
"700","openml_dataset_6332","VIM_hotdeck","classif.xgboost","f1",0.761194029850746
"701","openml_dataset_944","VIM_hotdeck","classif.rpart","auc",0.893939393939394
"702","openml_dataset_944","VIM_hotdeck","classif.rpart","f1",0.857142857142857
"703","openml_dataset_944","VIM_hotdeck","classif.glmnet","auc",0.821212121212121
"704","openml_dataset_944","VIM_hotdeck","classif.glmnet","f1",0.814814814814815
"705","openml_dataset_944","VIM_hotdeck","classif.kknn","auc",0.787878787878788
"706","openml_dataset_944","VIM_hotdeck","classif.kknn","f1",0.758620689655172
"707","openml_dataset_944","VIM_hotdeck","classif.ranger","auc",0.854545454545454
"708","openml_dataset_944","VIM_hotdeck","classif.ranger","f1",0.814814814814815
"709","openml_dataset_944","VIM_hotdeck","classif.xgboost","auc",0.906060606060606
"710","openml_dataset_944","VIM_hotdeck","classif.xgboost","f1",0.857142857142857
"711","openml_dataset_1018","VIM_kknn","classif.rpart","auc",0.5
"712","openml_dataset_1018","VIM_kknn","classif.rpart","f1",0.967911318553092
"713","openml_dataset_1018","VIM_kknn","classif.glmnet","auc",0.895854567373555
"714","openml_dataset_1018","VIM_kknn","classif.glmnet","f1",0.967591240875912
"715","openml_dataset_1018","VIM_kknn","classif.kknn","auc",0.711915721409392
"716","openml_dataset_1018","VIM_kknn","classif.kknn","f1",0.961015948021264
"717","openml_dataset_1018","VIM_kknn","classif.ranger","auc",0.900241109101869
"718","openml_dataset_1018","VIM_kknn","classif.ranger","f1",0.967836257309942
"719","openml_dataset_1018","VIM_kknn","classif.xgboost","auc",0.884947120390158
"720","openml_dataset_1018","VIM_kknn","classif.xgboost","f1",0.967343336275375
"721","openml_dataset_1590","VIM_kknn","classif.rpart","auc",0.852771502252583
"722","openml_dataset_1590","VIM_kknn","classif.rpart","f1",0.634281399446262
"723","openml_dataset_1590","VIM_kknn","classif.glmnet","auc",0.903909549893728
"724","openml_dataset_1590","VIM_kknn","classif.glmnet","f1",0.63968015992004
"725","openml_dataset_1590","VIM_kknn","classif.kknn","auc",0.852494613337037
"726","openml_dataset_1590","VIM_kknn","classif.kknn","f1",0.601991201667053
"727","openml_dataset_1590","VIM_kknn","classif.ranger","auc",0.918291989693992
"728","openml_dataset_1590","VIM_kknn","classif.ranger","f1",0.678930586215354
"729","openml_dataset_1590","VIM_kknn","classif.xgboost","auc",0.880830582566328
"730","openml_dataset_1590","VIM_kknn","classif.xgboost","f1",0.638738039824153
"731","openml_dataset_188","VIM_kknn","classif.rpart","auc",0.906306852637962
"732","openml_dataset_188","VIM_kknn","classif.rpart","f1",0.818181818181818
"733","openml_dataset_188","VIM_kknn","classif.glmnet","auc",0.960986456438245
"734","openml_dataset_188","VIM_kknn","classif.glmnet","f1",0.823529411764706
"735","openml_dataset_188","VIM_kknn","classif.kknn","auc",0.906306852637962
"736","openml_dataset_188","VIM_kknn","classif.kknn","f1",0.803921568627451
"737","openml_dataset_188","VIM_kknn","classif.ranger","auc",0.958358601172428
"738","openml_dataset_188","VIM_kknn","classif.ranger","f1",0.8
"739","openml_dataset_188","VIM_kknn","classif.xgboost","auc",0.923590054578532
"740","openml_dataset_188","VIM_kknn","classif.xgboost","f1",0.761904761904762
"741","openml_dataset_23381","VIM_kknn","classif.rpart","auc",0.515190972222222
"742","openml_dataset_23381","VIM_kknn","classif.rpart","f1",0.277777777777778
"743","openml_dataset_23381","VIM_kknn","classif.glmnet","auc",0.541666666666667
"744","openml_dataset_23381","VIM_kknn","classif.glmnet","f1",NA
"745","openml_dataset_23381","VIM_kknn","classif.kknn","auc",0.483506944444444
"746","openml_dataset_23381","VIM_kknn","classif.kknn","f1",0.347826086956522
"747","openml_dataset_23381","VIM_kknn","classif.ranger","auc",0.513454861111111
"748","openml_dataset_23381","VIM_kknn","classif.ranger","f1",0.229508196721311
"749","openml_dataset_23381","VIM_kknn","classif.xgboost","auc",0.577473958333333
"750","openml_dataset_23381","VIM_kknn","classif.xgboost","f1",0.417910447761194
"751","openml_dataset_27","VIM_kknn","classif.rpart","auc",0.870833333333333
"752","openml_dataset_27","VIM_kknn","classif.rpart","f1",0.896551724137931
"753","openml_dataset_27","VIM_kknn","classif.glmnet","auc",0.911363636363636
"754","openml_dataset_27","VIM_kknn","classif.glmnet","f1",0.847058823529412
"755","openml_dataset_27","VIM_kknn","classif.kknn","auc",0.913257575757576
"756","openml_dataset_27","VIM_kknn","classif.kknn","f1",0.840909090909091
"757","openml_dataset_27","VIM_kknn","classif.ranger","auc",0.938636363636364
"758","openml_dataset_27","VIM_kknn","classif.ranger","f1",0.857142857142857
"759","openml_dataset_27","VIM_kknn","classif.xgboost","auc",0.886363636363636
"760","openml_dataset_27","VIM_kknn","classif.xgboost","f1",0.850574712643678
"761","openml_dataset_29","VIM_kknn","classif.rpart","auc",0.918376068376068
"762","openml_dataset_29","VIM_kknn","classif.rpart","f1",0.849557522123894
"763","openml_dataset_29","VIM_kknn","classif.glmnet","auc",0.913888888888889
"764","openml_dataset_29","VIM_kknn","classif.glmnet","f1",0.861788617886179
"765","openml_dataset_29","VIM_kknn","classif.kknn","auc",0.883653846153846
"766","openml_dataset_29","VIM_kknn","classif.kknn","f1",0.769230769230769
"767","openml_dataset_29","VIM_kknn","classif.ranger","auc",0.963461538461538
"768","openml_dataset_29","VIM_kknn","classif.ranger","f1",0.857142857142857
"769","openml_dataset_29","VIM_kknn","classif.xgboost","auc",0.932051282051282
"770","openml_dataset_29","VIM_kknn","classif.xgboost","f1",0.811320754716981
"771","openml_dataset_38","VIM_kknn","classif.rpart","auc",0.973645555783289
"772","openml_dataset_38","VIM_kknn","classif.rpart","f1",0.911392405063291
"773","openml_dataset_38","VIM_kknn","classif.glmnet","auc",0.958324793331967
"774","openml_dataset_38","VIM_kknn","classif.glmnet","f1",0.626865671641791
"775","openml_dataset_38","VIM_kknn","classif.kknn","auc",0.935215549634488
"776","openml_dataset_38","VIM_kknn","classif.kknn","f1",0.666666666666667
"777","openml_dataset_38","VIM_kknn","classif.ranger","auc",0.99774543963927
"778","openml_dataset_38","VIM_kknn","classif.ranger","f1",0.875
"779","openml_dataset_38","VIM_kknn","classif.xgboost","auc",0.997403839584614
"780","openml_dataset_38","VIM_kknn","classif.xgboost","f1",0.91566265060241
"781","openml_dataset_4","VIM_kknn","classif.rpart","auc",0.75
"782","openml_dataset_4","VIM_kknn","classif.rpart","f1",0.888888888888889
"783","openml_dataset_4","VIM_kknn","classif.glmnet","auc",1
"784","openml_dataset_4","VIM_kknn","classif.glmnet","f1",0.8
"785","openml_dataset_4","VIM_kknn","classif.kknn","auc",0.875
"786","openml_dataset_4","VIM_kknn","classif.kknn","f1",0.888888888888889
"787","openml_dataset_4","VIM_kknn","classif.ranger","auc",1
"788","openml_dataset_4","VIM_kknn","classif.ranger","f1",0.842105263157895
"789","openml_dataset_4","VIM_kknn","classif.xgboost","auc",0.875
